symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
VTHOUSD,-1.3e-05,-0.609,0.00206905,0.002125,0.00212,20358.0,0.002142,50261.0,0.002149,59373.0,0.002133,0.002147,0.001988,403291.0,834.430458,2025-05-30 17:35:53.650,2025-05-31 17:35:53.650,5359328,5359346,19
USDCUSD,0.0016,0.16,1.00001304,1.0,1.0,108.0,0.9987,17227.0,1.001,8185.0,0.9984,1.001,0.9934,14106.0,14106.184,2025-05-30 17:35:38.447,2025-05-31 17:35:38.447,1380894,1380974,81
COMPUSD,0.0,0.0,0.0,37.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
MANAUSD,-0.0048,-1.726,0.26623165,0.275,0.2733,167.0,0.2731,638.0,0.274,399.0,0.2781,0.2781,0.2649,3766.0,1002.6284,2025-05-30 17:35:32.429,2025-05-31 17:35:32.429,12743675,12743697,23
HNTUSD,0.0,0.0,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
MKRUSD,0.0,0.0,0.0,682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
DAIUSD,0.0,0.0,0.0,0.985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
ONEUSD,-0.00035,-2.846,0.01178199,0.01212,0.01195,6223.8,0.01198,88700.9,0.01209,5311.2,0.0123,0.01372,0.01151,413986.0,4877.580879,2025-05-30 17:35:31.280,2025-05-31 17:35:31.280,13442318,13442402,85
BANDUSD,0.0,0.0,0.0,1.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
STORJUSD,0.0,0.0,0.0,0.2599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-12 09:54:21.826,2025-02-13 09:54:21.826,-1,-1,0
